club,displayName,logo,logoStatus,website,region,primaryColor,secondaryColor
SD ECA,SD ECA,assets/logos/sd-eca.svg,placeholder,,,#073763,#F7B500
SHAQ,SHAQ,assets/logos/shaq.svg,placeholder,,,#073763,#F7B500
SJ Express,SJ Express,assets/logos/sj-express.svg,placeholder,,,#073763,#F7B500
SJ Foundation,SJ Foundation,assets/logos/sj-foundation.svg,placeholder,,,#073763,#F7B500
SOCAL,SOCAL,assets/logos/socal.svg,placeholder,,,#073763,#F7B500
San Clemente,San Clemente,assets/logos/san-clemente.svg,placeholder,,,#073763,#F7B500
San Clemente Red,San Clemente Red,assets/logos/san-clemente-red.svg,placeholder,,,#073763,#F7B500
San Diego Shores,San Diego Shores,assets/logos/san-diego-shores.svg,placeholder,,,#073763,#F7B500
San Francisco,San Francisco,assets/logos/san-francisco.svg,placeholder,,,#073763,#F7B500
Sand Canyon,Sand Canyon,assets/logos/sand-canyon.svg,placeholder,,,#073763,#F7B500
Santa Barbara,Santa Barbara,assets/logos/santa-barbara.svg,placeholder,,,#073763,#F7B500
Santa Cruz,Santa Cruz,assets/logos/santa-cruz.svg,placeholder,,,#073763,#F7B500
Set,Set,assets/logos/set.svg,placeholder,,,#073763,#F7B500
Sharks,Sharks,assets/logos/sharks.svg,placeholder,,,#073763,#F7B500
Shore Aquatics,Shore Aquatics,assets/logos/shore-aquatics.svg,placeholder,,,#073763,#F7B500
Skip,Skip,assets/logos/skip.svg,placeholder,,,#073763,#F7B500
South Coast,South Coast Aquatics,assets/logos/south-coast.png,verified_by_user,https://www.southcoastaquatics.com/,Orange County,#C8102E,#174EA6
Stanford,Stanford Water Polo Club,assets/logos/stanford.png,verified_by_user,https://www.stanfordwaterpoloclub.com/,Peninsula,#8C1515,#111111
Supreme,Supreme,assets/logos/supreme.svg,placeholder,,,#073763,#F7B500
Temple City,Temple City,assets/logos/temple-city.svg,placeholder,,,#073763,#F7B500
Titans,Titans,assets/logos/titans.svg,placeholder,,,#073763,#F7B500
Tri-Valley Tritons,Tri-Valley Tritons,assets/logos/tri-valley-tritons.svg,placeholder,,,#073763,#F7B500
Trilogy,Trilogy,assets/logos/trilogy.svg,placeholder,,,#073763,#F7B500
Triton Gold,Triton Gold,assets/logos/triton-gold.svg,placeholder,,,#073763,#F7B500
Trojan,Trojan,assets/logos/trojan.svg,placeholder,,,#073763,#F7B500
Vanguard,Vanguard Aquatics,assets/logos/vanguard.png,verified_by_user,https://vanguardaquatics.com/,Orange County,#111827,#C8CDD2
Vegas Renegades,Vegas Renegades,assets/logos/vegas-renegades.svg,placeholder,,,#073763,#F7B500
